name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,time,battery
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,3.040.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/11/0_45928407_realmec65s8256gbxanhla_1744373186648.jpg,Chính hãng đến 11/01/2026,Có trầy xước,Sách hướng dẫn,Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,3.040.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/01/15/0_45854157_realmec65s8256gbxanhduong_1736949409724.jpg,Chính hãng đến 14/01/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,3.060.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/02/0_46040886_realmec65s8256gbxanhduong_1740922199637.jpg,Chính hãng đến 02/02/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,3.060.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused/posused/2025/02/17/0_45976588_realmec65s8256gbxanhla_1739780168818.jpg,Chính hãng đến 27/01/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,3.060.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/02/0_45906211_realmec65s8256gbxanhla_1738501581845.jpg,Chính hãng đến 22/01/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,3.070.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/17/0_45973690_realmec65s8256gbxanhduong_1742180512033.jpg,Chính hãng đến 11/02/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,3.070.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/28/0_46155247_realmec65s8256gbxanhduong_1743146937488.jpg,Chính hãng đến 11/02/2026,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,3.070.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused/posused/2025/02/20/0_45994149_realmec65s8256gbxanhduong_1740039779585.jpg,Chính hãng đến 09/02/2026,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,3.090.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/01/0_46145634_realmec65s8256gbxanhduong_1743483421737.jpg,Chính hãng đến 28/02/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,3.090.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/21/0_46118965_realmec65s8256gbxanhla_1742564453429.jpg,Chính hãng đến 25/02/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,3.090.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/15/0_46098193_realmec65s8256gbxanhla_1742050761204.jpg,Chính hãng đến 27/02/2026,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,3.090.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/24/0_46010959_realmec65s8256gbxanhduong_1740401125356.jpg,Chính hãng đến 21/02/2026,Có trầy xước,"Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh Dương,3.090.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/29/0_46281842_realmec65s8256gbxanhduong_1745920102043.jpg,Chính hãng đến 02/03/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,3.090.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/27/0_46237865_realmec65s8256gbxanhla_1745728957216.jpg,Chính hãng đến 27/02/2026,Có trầy xước,"Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
Điện thoại realme C65s 8GB/256GB,Màu: Xanh lá,3.090.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/22/0_46128729_realmec65s8256gbxanhla_1742641241443.jpg,Chính hãng đến 02/03/2026,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,8 GB,256 GB,08/2024,5000 mAh
